Year,Month,Day,Max Temp (°C),Min Temp (°C)
2016,1,1,0.4,-4.7
2016,1,2,1.3,-5
2016,1,3,2.7,-2.4
2016,1,4,-0.5,-12
2016,1,5,-8.6,-14.2
2016,1,6,0.7,-10.9
2016,1,7,1.9,-5.3
2016,1,8,-2,-7.9
2016,1,9,-2.4,-5.8
2016,1,10,6.9,-3.4
2016,1,11,9.5,-4.3
2016,1,12,-1.8,-6.9
2016,1,13,1,-6
2016,1,14,-5.9,-11.5
2016,1,15,-5.8,-11.9
2016,1,16,-3.6,-9.9
2016,1,17,-0.2,-4.3
2016,1,18,-2.5,-7.9
2016,1,19,-7.6,-11.4
2016,1,20,-2.2,-8.6
2016,1,21,-5.8,-9.8
2016,1,22,-6.6,-12.4
2016,1,23,-6.8,-14.1
2016,1,24,-2.8,-10.1
2016,1,25,-2.5,-10
2016,1,26,6.2,-7.9
2016,1,27,5.5,-4.8
2016,1,28,1.2,-8.3
2016,1,29,1.1,-1.3
2016,1,30,-1.3,-4.4
2016,1,31,3.2,-2.9
2016,2,1,6.5,1.1
2016,2,2,2.2,-8.3
2016,2,3,5.3,-10.9
2016,2,4,9.8,5.2
2016,2,5,5.2,-4.7
2016,2,6,-2.9,-7.8
2016,2,7,4.2,-8.8
2016,2,8,-4.3,-9.2
2016,2,9,-2.2,-5.3
2016,2,10,-1.4,-8.2
2016,2,11,-0.8,-8.2
2016,2,12,-5.9,-13.8
2016,2,13,-9.4,-13.7
2016,2,14,-10.3,-16.4
2016,2,15,-6.1,-17.1
2016,2,16,10.8,-8.9
2016,2,17,11.4,-1.2
2016,2,18,2.8,-4.6
2016,2,19,0,-7.3
2016,2,20,6.4,-5.9
2016,2,21,6.8,1.4
2016,2,22,1.4,-9.1
2016,2,23,-1.9,-11.9
2016,2,24,7.4,-7.5
2016,2,25,13.6,4.4
2016,2,26,5.1,-4.5
2016,2,27,-0.2,-7.8
2016,2,28,7.7,-2.4
2016,2,29,12.7,-1.8
2016,3,1,5.5,-4.9
2016,3,2,10.2,-6.9
2016,3,3,0.7,-10.8
2016,3,4,-2.7,-12.6
2016,3,5,-4.1,-9.7
2016,3,6,-1.6,-10.9
2016,3,7,2.9,-5.7
2016,3,8,5.6,-4.9
2016,3,9,5.1,-5.9
2016,3,10,6.8,-2
2016,3,11,-1.3,-4.5
2016,3,12,1.3,-6.4
2016,3,13,5.1,-4.4
2016,3,14,2.3,-6.5
2016,3,15,1.8,-7.1
2016,3,16,8.7,0.7
2016,3,17,2.7,-2
2016,3,18,3.8,-5.2
2016,3,19,-1.3,-7.6
2016,3,20,-0.1,-9.7
2016,3,21,3.3,-6.1
2016,3,22,-1.2,-4.7
2016,3,23,4.2,-5.8
2016,3,24,-3.1,-9.2
2016,3,25,9.5,-3.5
2016,3,26,3.5,-6.2
2016,3,27,3.9,-6.3
2016,3,28,8.9,-1.6
2016,3,29,7.6,-2
2016,3,30,7.5,-3.5
2016,3,31,17.1,1.4
2016,4,1,13.1,9.1
2016,4,2,10.6,5.4
2016,4,3,6,-6.9
2016,4,4,-0.7,-8.9
2016,4,5,-2.3,-9.5
2016,4,6,-0.3,-9.8
2016,4,7,11.6,-1.5
2016,4,8,10.3,5.9
2016,4,9,9.5,0.2
2016,4,10,1.1,-2.9
2016,4,11,6,-4
2016,4,12,12.7,6.1
2016,4,13,10.9,-1.2
2016,4,14,6.5,-1.8
2016,4,15,1.4,-1.3
2016,4,16,3.6,-1.2
2016,4,17,11.5,-2.1
2016,4,18,8.1,-3
2016,4,19,8.2,-3.5
2016,4,20,8.7,-2.7
2016,4,21,18.7,-0.1
2016,4,22,20.4,2.3
2016,4,23,16.1,4.3
2016,4,24,8.4,-1.7
2016,4,25,8.6,-2.4
2016,4,26,7.9,-2.1
2016,4,27,11.1,-2
2016,4,28,4.4,-2.1
2016,4,29,10.1,-3
2016,4,30,14.1,-1
2016,5,1,15.2,0
2016,5,2,12.6,2.3
2016,5,3,10.9,3.6
2016,5,4,9.9,2.2
2016,5,5,7.7,3.2
2016,5,6,10.9,4.7
2016,5,7,13.9,4.4
2016,5,8,18.6,7.5
2016,5,9,12.1,3.9
2016,5,10,12.7,4
2016,5,11,13.7,4.1
2016,5,12,16.9,2.5
2016,5,13,15,1.1
2016,5,14,18,6.7
2016,5,15,16.6,6.6
2016,5,16,10.1,3.4
2016,5,17,14.7,4.3
2016,5,18,19.4,5.8
2016,5,19,18.7,5.2
2016,5,20,19,7.3
2016,5,21,26.3,12.1
2016,5,22,16.5,10.7
2016,5,23,13.8,6.5
2016,5,24,17.9,5.6
2016,5,25,20.9,9
2016,5,26,20.8,6.1
2016,5,27,12.7,5.8
2016,5,28,19.2,5.6
