Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2018,1,1,36,227,1.4,15.47,975
2018,1,2,42,195,2.3,17.09,975
2018,1,3,44,127,3.1,12.90,974
2018,1,4,28,269,1.3,18.92,974
2018,1,5,29,270,1.4,24.40,976
2018,1,6,59,105,1.2,28.98,974
2018,1,7,40,198,1.4,31.41,972
2018,1,8,57,43,1.4,25.82,971
2018,1,9,47,102,3.0,48.58,966
2018,1,10,50,97,1.8,70.64,970
2018,1,11,25,308,1.2,52.54,977
2018,1,12,26,304,1.5,38.85,977
2018,1,13,25,315,2.4,29.56,977
2018,1,14,41,221,2.6,27.57,976
2018,1,15,31,267,1.3,32.18,973
2018,1,16,47,153,2.7,32.45,976
2018,1,17,27,310,2.0,30.77,977
2018,1,18,30,291,1.9,31.23,975
2018,1,19,29,299,1.8,29.34,970
2018,1,20,31,24,2.8,47.52,968
2018,1,21,25,341,1.8,40.42,976
2018,1,22,49,222,1.8,28.84,977
2018,1,23,28,327,3.2,26.56,976
2018,1,24,28,335,3.2,22.15,976
2018,1,25,36,283,2.8,23.40,971
2018,1,26,36,272,1.2,32.83,974
2018,1,27,29,309,2.6,20.19,977
2018,1,28,30,317,4.0,18.99,977
2018,1,29,28,342,3.7,20.52,977
2018,1,30,38,252,2.1,19.26,974
2018,1,31,31,324,1.5,19.40,971
2018,2,1,41,261,1.4,18.35,972
2018,2,2,52,221,1.3,17.91,975
2018,2,3,32,320,1.3,22.00,972
2018,2,4,32,321,1.5,23.42,972
2018,2,5,33,313,1.3,21.90,970
2018,2,6,36,312,2.4,21.49,970
2018,2,7,29,361,2.4,18.38,977
2018,2,8,30,342,2.1,14.81,974
2018,2,9,33,338,1.7,16.53,969
2018,2,10,57,255,1.9,20.55,965
2018,2,11,37,316,2.6,30.05,966
2018,2,12,31,1,2.9,60.19,967
2018,2,13,82,108,1.7,56.62,974
2018,2,14,30,1,1.4,58.44,975
2018,2,15,78,129,1.0,69.98,974
2018,2,16,87,35,1.3,57.02,974
2018,2,17,84,129,1.3,54.55,974
2018,2,18,81,168,2.0,48.98,968
2018,2,19,59,62,3.9,55.14,964
2018,2,20,37,358,1.3,28.20,972
2018,2,21,50,300,1.8,26.82,973
2018,2,22,42,335,1.6,29.45,976
2018,2,23,75,155,2.6,39.70,974
2018,2,24,37,366,1.3,34.66,976
2018,2,25,37,369,1.1,23.85,975
2018,2,26,39,367,1.8,24.46,970
2018,2,27,46,281,3.0,43.68,968
2018,2,28,42,341,1.4,48.41,974
2018,3,1,41,355,1.6,38.41,975
2018,3,2,38,365,1.6,29.60,971
2018,3,3,38,368,1.8,30.64,970
2018,3,4,53,320,2.4,42.10,972
2018,3,5,37,395,2.0,21.77,973
2018,3,6,59,298,2.5,17.83,972
2018,3,7,100,97,1.8,19.13,971
2018,3,8,88,197,1.4,17.64,970
2018,3,9,48,309,1.7,19.58,968
2018,3,10,70,7,1.2,43.70,970
2018,3,11,81,211,1.2,62.92,972
2018,3,12,47,344,1.6,42.88,972
2018,3,13,111,104,1.6,36.02,970
2018,3,14,51,326,2.8,34.49,967
2018,3,15,63,286,2.8,46.57,968
2018,3,16,103,168,1.6,39.28,968
2018,3,17,45,371,1.9,37.47,969
2018,3,18,43,379,2.3,36.95,972
2018,3,19,48,342,1.6,19.50,972
2018,3,20,42,387,1.8,17.58,970
2018,3,21,103,212,1.3,17.50,970
2018,3,22,110,88,2.1,22.22,971
2018,3,23,51,342,2.3,27.89,971
2018,3,24,110,179,2.5,25.08,967
2018,3,25,70,305,2.2,25.59,967
2018,3,26,54,369,2.1,23.45,966
2018,3,27,55,367,1.1,19.20,969
2018,3,28,46,398,1.6,16.68,971
2018,3,29,55,354,1.9,19.20,971
2018,3,30,46,391,1.8,16.70,971
2018,3,31,89,275,1.5,15.38,970
2018,4,1,78,232,1.7,15.81,965
2018,4,2,46,394,2.2,18.82,963
2018,4,3,57,350,1.4,23.13,967
2018,4,4,90,274,1.5,19.25,969
2018,4,5,60,310,1.5,17.63,968
2018,4,6,74,290,2.3,18.40,965
2018,4,7,53,357,2.4,26.77,964
2018,4,8,58,377,2.6,25.95,965
2018,4,9,58,388,2.0,10.04,969
2018,4,10,79,339,2.4,9.53,970
2018,4,11,99,300,2.1,9.90,967
2018,4,12,74,298,4.9,17.09,965
2018,4,13,52,423,3.7,9.39,974
2018,4,14,48,441,2.0,9.60,976
2018,4,15,67,337,1.7,7.08,969
2018,4,16,122,109,2.5,9.35,967
2018,4,17,52,432,2.5,20.47,971
2018,4,18,53,430,2.0,10.15,971
2018,4,19,118,229,3.8,17.15,967
2018,4,20,56,399,2.5,25.18,971
2018,4,21,50,421,1.7,17.81,971
2018,4,22,61,376,1.7,13.18,967
2018,4,23,53,414,1.6,12.38,969
2018,4,24,56,398,1.7,12.77,969
2018,4,25,58,404,1.5,13.04,969
2018,4,26,125,188,1.8,14.19,966
2018,4,27,63,378,1.8,14.33,965
2018,4,28,58,403,2.6,14.51,964
2018,4,29,82,344,3.1,14.70,965
2018,4,30,104,281,2.8,26.99,965
2018,5,1,100,166,2.9,35.93,964
2018,5,2,81,306,2.5,32.91,969
2018,5,3,50,430,1.4,24.08,973
2018,5,4,51,437,1.6,17.74,973
2018,5,5,51,443,2.7,10.56,970
2018,5,6,105,285,2.7,11.41,968
2018,5,7,99,295,1.8,10.73,969
2018,5,8,50,443,1.6,9.10,968
2018,5,9,56,421,2.0,9.28,966
2018,5,10,51,433,2.6,11.29,964
2018,5,11,58,410,3.9,16.83,962
2018,5,12,58,408,3.2,26.35,965
2018,5,13,60,412,2.2,24.43,967
2018,5,14,54,428,1.9,18.96,967
2018,5,15,54,434,1.7,16.89,968
2018,5,16,58,433,1.6,10.97,967
2018,5,17,58,422,2.8,11.95,964
2018,5,18,62,421,1.9,15.30,964
2018,5,19,60,422,1.8,14.60,964
2018,5,20,62,415,2.3,15.57,965
2018,5,21,95,334,2.5,21.06,964
2018,5,22,61,406,2.8,22.63,964
2018,5,23,57,432,1.9,18.20,967
2018,5,24,51,451,1.9,15.05,970
2018,5,25,56,439,2.4,14.69,969
2018,5,26,90,341,3.3,20.00,966
2018,5,27,59,430,1.7,23.79,965
2018,5,28,56,437,1.6,16.72,965
2018,5,29,63,408,1.6,15.52,963
2018,5,30,50,451,2.2,14.35,963
2018,5,31,51,451,2.4,18.30,964
2018,6,1,58,440,1.5,14.04,967
2018,6,2,54,451,1.9,9.58,967
