Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2018,1,1,37,274,2.5,74.7,1019
2018,1,2,50,8,7.7,89,1017
2018,1,3,53,100,7.2,88,1014
2018,1,4,34,332,6.7,72.3,1020
2018,1,5,34,330,5.4,70.8,1025
2018,1,6,40,227,6.7,79.2,1026
2018,1,7,42,283,5.6,78,1024
2018,1,8,74,92,3.8,83.1,1019
2018,1,9,70,27,1.8,90.2,1016
2018,1,10,76,22,1.8,86.8,1016
2018,1,11,38,282,2.6,88.7,1015
2018,1,12,53,127,4.1,93.8,1014
2018,1,13,40,279,4.9,82.3,1019
2018,1,14,43,285,7.1,81.1,1023
2018,1,15,50,238,6.4,83.5,1023
2018,1,16,48,251,6.2,73.8,1023
2018,1,17,83,78,5.6,78.9,1022
2018,1,18,40,326,7,76.8,1024
2018,1,19,72,143,3.9,81.7,1023
2018,1,20,70,57,2.9,79.2,1022
2018,1,21,79,121,3.8,85.2,1020
2018,1,22,43,275,3.5,86.6,1018
2018,1,23,83,105,2.4,92.8,1017
2018,1,24,51,153,3.3,91.6,1019
2018,1,25,70,51,8.2,77.8,1023
2018,1,26,77,155,9.7,72.6,1025
2018,1,27,61,220,8.3,75.7,1023
2018,1,28,83,116,6.6,82.9,1019
2018,1,29,86,94,4.7,91,1015
2018,1,30,49,306,8.2,74.3,1020
2018,1,31,56,258,6.2,71.4,1022
2018,2,1,63,240,3.3,71,1021
2018,2,2,72,160,2,76.8,1021
2018,2,3,54,16,5.9,82.6,1021
2018,2,4,62,203,4.1,85.5,1018
2018,2,5,55,201,3.9,87.9,1019
2018,2,6,82,67,5,84.1,1022
2018,2,7,58,236,4.7,84.5,1022
2018,2,8,43,305,4.2,85.7,1022
2018,2,9,51,293,5.6,85.1,1022
2018,2,10,53,282,5.8,78.6,1021
2018,2,11,63,221,6.2,84.1,1020
2018,2,12,46,318,5,82.8,1024
2018,2,13,53,290,5.3,81.3,1026
2018,2,14,44,327,4.9,74.1,1026
2018,2,15,39,351,3.2,68.2,1024
2018,2,16,34,373,2.2,69.1,1022
2018,2,17,41,351,2.7,71.8,1022
2018,2,18,45,329,3.9,77.5,1022
2018,2,19,75,132,6.8,78.3,1023
2018,2,20,72,204,7.1,82,1024
2018,2,21,65,266,7.1,78.6,1026
2018,2,22,76,221,6.5,79.6,1026
2018,2,23,55,298,6.2,78.1,1025
2018,2,24,59,284,5.9,78.9,1021
2018,2,25,38,343,4.2,78.5,1020
2018,2,26,67,86,2.7,75.6,1021
2018,2,27,59,222,3,76.8,1020
2018,2,28,70,267,3.8,76.4,1018
2018,3,1,51,326,3.4,73.9,1017
2018,3,2,50,315,3.5,76.5,1017
2018,3,3,47,366,5.9,61.7,1017
2018,3,4,55,335,6.1,62.8,1017
2018,3,5,71,286,3.3,62.7,1017
2018,3,6,73,286,3.6,65.6,1016
2018,3,7,76,153,5.7,74.4,1015
2018,3,8,65,290,5.9,63.4,1017
2018,3,9,62,276,4.7,61.4,1020
2018,3,10,91,64,4.4,73.7,1017
2018,3,11,81,234,3.3,85.5,1012
2018,3,12,79,60,7,82.8,1011
2018,3,13,50,360,4.4,61.3,1017
2018,3,14,56,334,5.4,60.6,1018
2018,3,15,43,396,3.3,55.1,1020
2018,3,16,44,381,1.9,59.1,1019
2018,3,17,68,306,2.6,69.7,1017
2018,3,18,61,300,2.4,77.8,1014
2018,3,19,94,231,3.3,82.6,1011
2018,3,20,98,223,5.9,84.7,1010
2018,3,21,87,246,7.1,71.4,1015
2018,3,22,52,370,6,55.6,1021
2018,3,23,50,381,4.8,55,1022
2018,3,24,58,345,4.6,63.6,1021
2018,3,25,55,348,2.8,68.3,1018
2018,3,26,93,232,4,73.2,1020
2018,3,27,68,310,8.2,70.5,1022
2018,3,28,105,217,6.8,66.1,1020
2018,3,29,101,179,6.2,70.1,1019
2018,3,30,91,271,3.9,72.9,1019
2018,3,31,104,205,3.1,74.4,1018
2018,4,1,70,294,4.2,75.5,1017
2018,4,2,46,385,3.7,73.6,1016
2018,4,3,43,401,4.7,74.6,1016
2018,4,4,79,220,3.2,73.9,1015
2018,4,5,83,259,4.9,78.9,1016
2018,4,6,60,350,3.9,75.9,1015
2018,4,7,54,364,5.1,74.2,1012
2018,4,8,83,179,3.1,76.9,1012
2018,4,9,67,326,3.4,75.3,1015
2018,4,10,66,317,2.4,76.2,1017
2018,4,11,71,315,4.8,77.7,1017
2018,4,12,92,284,5.7,68.6,1019
2018,4,13,57,375,4.9,67.4,1018
2018,4,14,57,373,4.7,71.1,1017
2018,4,15,132,136,7.1,81.9,1016
2018,4,16,57,383,5.9,67.7,1018
2018,4,17,52,409,4.9,63.6,1019
2018,4,18,57,391,3.7,67,1019
2018,4,19,62,373,2.5,65.6,1018
2018,4,20,59,372,2.3,71.4,1019
2018,4,21,131,170,4,77.8,1018
2018,4,22,113,136,5.1,81.3,1017
2018,4,23,97,92,4.3,80.9,1016
2018,4,24,79,295,4.2,78.3,1014
2018,4,25,64,364,4,70.4,1014
2018,4,26,90,249,2.8,70.8,1013
2018,4,27,94,131,4,76.4,1012
2018,4,28,54,391,3.5,69.5,1013
2018,4,29,77,340,2.5,65.6,1017
2018,4,30,90,303,5.8,64.6,1019
2018,5,1,101,237,6.5,71.7,1020
2018,5,2,107,185,7.4,77,1021
2018,5,3,130,153,7.6,79.1,1019
2018,5,4,78,334,7.2,74.6,1017
2018,5,5,95,253,5.5,81.4,1013
2018,5,6,88,258,3.7,77.1,1014
2018,5,7,117,185,1.5,75.3,1014
2018,5,8,92,182,5.1,71.8,1015
2018,5,9,88,329,5.7,68.8,1017
2018,5,10,92,287,4.7,68.8,1018
2018,5,11,102,248,4.2,67.1,1018
2018,5,12,96,11,3.9,78.7,1018
2018,5,13,67,2,3.6,88.9,1016
2018,5,14,91,139,4.4,87.3,1014
2018,5,15,117,156,4,86.5,1014
2018,5,16,110,183,4.1,83.5,1014
2018,5,17,67,5,3,90.2,1015
2018,5,18,131,161,3.4,86.6,1015
2018,5,19,91,7,5.4,89.2,1016
2018,5,20,85,7,5.7,88.9,1017
2018,5,21,84,6,6,85.9,1017
2018,5,22,131,26,5.7,83.5,1017
