Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2015,1,1,61,159,2.1,85.12,1018
2015,1,2,54,215,4.6,85.98,1020
2015,1,3,79,122,6.7,84.27,1020
2015,1,4,49,240,5.1,84.11,1020
2015,1,5,32,309,3.2,86.44,1020
2015,1,6,30,316,2.7,83.61,1020
2015,1,7,37,280,3.1,78.52,1018
2015,1,8,62,205,7.6,72.62,1020
2015,1,9,64,185,2.7,73.56,1020
2015,1,10,51,214,5.5,85.86,1020
2015,1,11,77,130,4.7,88.7,1020
2015,1,12,73,38,3.6,95.02,1016
2015,1,13,43,205,2.4,94.58,1010
2015,1,14,73,136,3.8,91.01,1010
2015,1,15,61,164,3.1,89.42,1010
2015,1,16,62,162,4.6,85.74,1010
2015,1,17,32,328,4.5,76.62,1013
2015,1,18,44,286,2.8,72.63,1014
2015,1,19,42,293,4,73.54,1014
2015,1,20,68,41,3,75.22,1010
2015,1,21,52,233,1.8,84.46,1010
2015,1,22,34,319,4.1,82.58,1015
2015,1,23,68,198,5.5,79.41,1010
2015,1,24,57,28,6.9,87.01,1010
2015,1,25,38,307,4.2,71.76,1010
2015,1,26,57,213,7.1,74.78,1010
2015,1,27,32,356,5.6,72.53,1010
2015,1,28,34,361,6.1,66.47,1017
2015,1,29,58,236,4.8,74.11,1020
2015,1,30,35,344,2.4,70.22,1020
2015,1,31,58,245,5.9,75.19,1020
2015,2,1,58,256,4.7,73.51,1016
2015,2,2,50,240,4.1,88.92,1010
2015,2,3,45,300,4.8,74.56,1018
2015,2,4,54,249,4.3,77.29,1014
2015,2,5,34,273,5.8,96.39,1010
2015,2,6,44,287,7.1,79.23,1015
2015,2,7,75,214,6.4,68.05,1020
2015,2,8,34,353,3.4,71.25,1015
2015,2,9,44,127,3.6,87.99,1006
2015,2,10,37,358,7.3,80.68,1002
2015,2,11,36,370,3.7,73.68,1010
2015,2,12,37,358,3.2,70.18,1010
