DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
148,85,3.2,75.93,1010
141,174,2.7,76.2,1010
71,330,2.7,75.43,1010
106,270,2.8,79.28,1010
68,347,2.8,76.22,1010
65,331,2,73.77,1010
71,232,2.3,73.95,1010
92,261,1.9,71.88,1010
118,235,2.6,75.24,1010
109,239,1.4,72.18,1010
76,319,1.7,72.34,1010
115,193,1.8,76.53,1010
81,227,2.1,78.71,1010
150,62,2.2,82.4,1010
51,356,3.8,77.93,1010
66,294,3.5,79.4,1010
120,167,3.7,81.76,1010
70,300,3.6,78.45,1010
115,231,2.3,75.12,1010
133,179,1.5,75.68,1010
82,254,0.8,72.5,1010
75,288,2.2,76.68,1010
107,227,2.3,76.67,1010
111,202,1.9,75.31,1010
115,45,2.2,83.33,1010
112,105,2.5,83.74,1010
78,297,2.7,80.68,1010
77,270,5.1,84.83,1010
93,14,7.2,85.92,1010
71,304,3.2,81.04,1010
57,320,1.9,78.49,1010
105,234,1.9,80.26,1010
87,195,2,81.29,1010
75,143,2,80.99,1010
98,113,1.4,81.38,1010
91,168,0.8,80.92,1010
107,121,2.8,83.15,1010
72,257,3,81.46,1010
113,105,2.5,80.63,1010
117,149,2,79.24,1010
70,207,2,80.29,1010
116,174,3.3,81.43,1010
126,143,2.6,79.73,1010
93,133,3.2,84.35,1010
114,68,5.4,86.54,1010
97,39,5.1,90.63,1010
78,72,2,90.13,1010
99,133,2.4,87.3,1000
45,348,4,85.42,1005
45,352,2.1,81.86,1010
68,124,1.4,79.7,1010
81,180,1.9,85.55,1010
106,136,1.8,86.48,1010
125,80,2.5,83.25,1010
61,171,2.1,82.5,1010
104,174,2.6,83.8,1010
109,24,2,83.38,1010
111,165,2.2,79.8,1010
107,73,2.2,87.22,1008
60,272,3.7,84.7,1000
43,342,5.6,83.33,1000
104,164,5.6,84.48,999
40,369,6.5,75.78,1000
55,297,5.4,72.62,1000
84,215,5.6,77.93,1003
93,175,4,79.43,1010
42,164,2.1,81.25,1010
63,267,1.6,75.98,1010
83,141,1.7,76.79,1010
47,318,2.9,78.46,1010
111,140,2.1,77.86,1010
48,276,1.7,73.35,1010
73,193,1.8,76.39,1010
83,179,1.1,79.94,1010
94,118,3.5,83.86,1010
75,18,5.1,87.86,1010
100,162,4.6,84.32,1010
107,89,5.9,78.71,1010
89,119,9.1,80.7,1011
89,108,8,78.23,1010
42,298,6.5,78.89,1010
52,269,5.9,81.09,1010
52,126,5.7,79.58,1010
65,207,5.7,80.12,1010
79,196,5.3,78.68,1010
56,277,5.4,77.7,1010
74,215,5.5,79.24,1010
74,12,4.3,86.71,1010
59,209,2.3,86.26,1010
75,164,2.2,83.79,1010
54,207,3.4,85.25,1010
40,304,3.5,84.63,1010
38,312,3.6,82.2,1010
32,328,3.6,84.68,1010
42,256,5.3,87.44,1010
35,309,6.3,80.92,1011
33,319,4.7,83.6,1010
43,284,4.3,87.55,1010
33,317,3.8,83.46,1010
34,312,2.5,82.61,1010
32,315,2.1,81.12,1010
38,275,1.1,77.79,1010
35,282,1.5,81.33,1010
35,282,1.7,83.32,1010
69,80,5.2,88.67,1012
67,9,7.4,85.65,1015
88,29,5.6,87.24,1011
44,253,6.2,84.57,1010
45,269,6.3,86.25,1010
87,108,3.6,88.43,1010
75,157,2.5,90.83,1010
51,21,3,89.96,1010
60,156,4.6,91.54,1009
39,291,7.3,83.25,1012
