Year,Month,Day,Max Temp (F),Min Temp (F)
2010,9,10,85,54
2010,9,11,87,57
2010,9,12,75,55
2010,9,13,73,55
2010,9,14,74,56
2010,9,15,73,56
2010,9,16,78,54
2010,9,17,76,64
2010,9,18,77,63
2010,9,19,79,58
2010,9,20,80,59
2010,9,21,73,54
2010,9,22,72,51
2010,9,23,79,50
2010,9,24,87,52
2010,9,25,94,57
2010,9,26,91,57
2010,9,27,96,57
2010,9,28,99,65
2010,9,29,95,66
2010,9,30,81,60
2010,10,1,73,59
2010,10,2,77,59
2010,10,3,73,57
2010,10,4,64,57
2010,10,5,76,53
2010,10,6,79,54
2010,10,7,74,53
2010,10,8,78,53
2010,10,9,79,52
2010,10,10,82,57
2010,10,11,89,58
2010,10,12,93,59
2010,10,13,93,61
2010,10,14,91,63
2010,10,15,84,59
2010,10,16,71,56
2010,10,17,59,55
2010,10,18,69,55
2010,10,19,77,52
2010,10,20,69,53
2010,10,21,69,51
2010,10,22,65,55
2010,10,23,66,53
2010,10,24,68,59
2010,10,25,66,52
2010,10,26,68,47
2010,10,27,67,43
2010,10,28,79,53
2010,10,29,67,54
2010,10,30,68,53
2010,10,31,74,49
2010,11,1,75,49
2010,11,2,80,50
2010,11,3,82,52
2010,11,4,85,54
2010,11,5,69,55
2010,11,6,72,57
2010,11,7,60,52
2010,11,8,62,45
2010,11,9,63,41
2010,11,10,63,50
2010,11,11,69,47
2010,11,12,69,42
2010,11,13,75,48
2010,11,14,79,53
2010,11,15,82,57
2010,11,16,75,49
2010,11,17,76,45
2010,11,18,63,44
2010,11,19,57,46
2010,11,20,53,42
2010,11,21,55,44
2010,11,22,58,44
2010,11,23,56,41
2010,11,24,52,35
2010,11,25,55,33
2010,11,26,57,32
2010,11,27,57,44
2010,11,28,54,36
2010,11,29,58,32
2010,11,30,57,35
2010,12,1,59,36
2010,12,2,60,39
2010,12,3,59,46
2010,12,4,65,50
2010,12,5,67,50
2010,12,6,65,48
2010,12,7,66,43
2010,12,8,60,51
2010,12,9,64,57
2010,12,10,67,57
2010,12,11,64,55
2010,12,12,59,54
2010,12,13,59,52
2010,12,14,61,52
2010,12,15,58,42
2010,12,16,59,36
2010,12,17,59,48
2010,12,18,61,54
2010,12,19,61,49
2010,12,20,53,47
2010,12,21,59,49
2010,12,22,61,50
2010,12,23,61,44
2010,12,24,61,43
2010,12,25,59,46
2010,12,26,61,42
2010,12,27,57,44
2010,12,28,57,46
2010,12,29,54,43
2010,12,30,53,34
2010,12,31,52,40
2011,1,1,56,47
2011,1,2,53,45
2011,1,3,56,43
2011,1,4,58,37
2011,1,5,58,34
2011,1,6,55,34
2011,1,7,48,38
2011,1,8,50,43
2011,1,9,49,37
2011,1,10,53,31
2011,1,11,50,42
2011,1,12,60,45
2011,1,13,60,43
2011,1,14,63,49
2011,1,15,68,44
2011,1,16,60,46
2011,1,17,59,48
2011,1,18,67,46
2011,1,19,64,43
2011,1,20,66,45
2011,1,21,67,40
2011,1,22,72,42
2011,1,23,71,42
2011,1,24,68,39
2011,1,25,70,42
2011,1,26,70,42
2011,1,27,69,42
2011,1,28,53,40
2011,1,29,61,49
2011,1,30,57,46
2011,1,31,60,39
2011,2,1,65,48
2011,2,2,63,40
2011,2,3,63,38
2011,2,4,66,40
2011,2,5,75,41
2011,2,6,77,52
2011,2,7,70,46
2011,2,8,62,44
2011,2,9,63,39
2011,2,10,65,35
2011,2,11,69,38
2011,2,12,70,41
2011,2,13,63,45
2011,2,14,60,48
2011,2,15,63,51
2011,2,16,55,44
2011,2,17,51,44
2011,2,18,58,40
2011,2,19,47,37
2011,2,20,55,36
2011,2,21,55,34
2011,2,22,58,36
2011,2,23,56,37
2011,2,24,54,39
2011,2,25,53,39
2011,2,26,49,33
2011,2,27,59,32
2011,2,28,59,37
2011,3,1,62,37
2011,3,2,62,44
2011,3,3,67,50
2011,3,4,67,42
