Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph)
2018,1,1,28,3,5.37
2018,1,2,43,11,8.05
2018,1,3,53,17,10.74
2018,1,4,50,23,8.28
2018,1,5,56,25,5.82
2018,1,6,62,26,5.82
2018,1,7,48,26,7.61
2018,1,8,49,24,5.37
2018,1,9,68,34,9.17
2018,1,10,57,24,11.41
2018,1,11,43,21,9.4
2018,1,12,46,24,10.29
2018,1,13,48,19,6.26
2018,1,14,56,21,9.4
2018,1,15,30,-3,9.4
2018,1,16,34,-4,7.16
2018,1,17,51,15,5.82
2018,1,18,65,28,10.96
2018,1,19,67,35,10.51
2018,1,20,48,27,9.84
2018,1,21,28,23,18.79
2018,1,22,44,9,7.61
2018,1,23,37,14,8.5
2018,1,24,47,18,13.42
2018,1,25,54,28,16.78
2018,1,26,40,17,11.18
2018,1,27,45,16,8.28
2018,1,28,52,19,9.17
2018,1,29,58,22,6.71
2018,1,30,63,38,13.87
2018,1,31,54,24,8.95
2018,2,1,34,18,8.5
2018,2,2,60,22,7.61
2018,2,3,58,31,12.08
2018,2,4,47,10,9.62
2018,2,5,56,21,14.32
2018,2,6,47,21,7.16
2018,2,7,53,16,9.62
2018,2,8,61,35,13.87
2018,2,9,48,16,10.96
2018,2,10,17,9,8.05
2018,2,11,43,0,11.18
2018,2,12,25,14,7.83
2018,2,13,58,17,9.17
2018,2,14,66,34,12.53
2018,2,15,48,16,11.18
2018,2,16,42,7,9.62
2018,2,17,56,24,10.96
2018,2,18,69,20,13.42
2018,2,19,20,3,11.41
2018,2,20,13,-3,6.71
2018,2,21,22,-7,7.38
2018,2,22,26,8,6.26
2018,2,23,35,8,8.5
2018,2,24,36,15,14.76
2018,2,25,41,15,12.53
2018,2,26,57,18,7.83
2018,2,27,56,21,7.61
2018,2,28,50,21,8.05
2018,3,1,59,18,10.29
2018,3,2,70,26,13.65
2018,3,3,71,42,12.08
2018,3,4,68,30,20.58
2018,3,5,42,25,23.94
2018,3,6,46,15,7.61
2018,3,7,51,13,9.84
2018,3,8,64,24,6.71
2018,3,9,65,31,12.3
2018,3,10,52,24,13.2
2018,3,11,49,16,6.49
2018,3,12,57,23,9.17
2018,3,13,58,26,10.51
2018,3,14,67,30,8.5
2018,3,15,67,34,13.2
2018,3,16,56,28,12.75
2018,3,17,64,25,13.42
2018,3,18,52,31,12.75
2018,3,19,46,27,12.3
2018,3,20,52,25,11.63
2018,3,21,62,26,6.26
2018,3,22,73,36,9.84
2018,3,23,72,38,13.87
2018,3,24,68,30,13.2
2018,3,25,66,31,12.97
2018,3,26,55,32,9.17
2018,3,27,47,24,10.51
2018,3,28,46,30,9.17
2018,3,29,47,24,10.96
2018,3,30,63,25,7.38
2018,3,31,59,23,14.09
2018,4,1,54,23,8.95
2018,4,2,74,29,10.51
2018,4,3,48,27,13.42
2018,4,4,62,24,8.05
2018,4,5,65,33,9.4
2018,4,6,43,21,14.54
2018,4,7,58,22,9.17
2018,4,8,64,40,14.99
2018,4,9,55,33,8.05
2018,4,10,71,32,10.51
2018,4,11,79,46,14.54
2018,4,12,79,37,13.87
2018,4,13,44,30,26.62
2018,4,14,56,27,19.69
2018,4,15,61,26,7.61
2018,4,16,73,34,10.07
2018,4,17,73,34,24.16
2018,4,18,56,25,9.62
2018,4,19,69,27,20.58
2018,4,20,60,33,16.78
2018,4,21,39,31,7.83
2018,4,22,65,31,6.93
2018,4,23,73,38,10.51
2018,4,24,40,32,9.62
2018,4,25,66,31,7.16
2018,4,26,59,36,14.76
2018,4,27,73,34,9.84
2018,4,28,80,42,12.3
2018,4,29,83,50,14.32
2018,4,30,73,46,10.07
2018,5,1,69,41,11.86
2018,5,2,52,40,8.72
2018,5,3,52,40,14.76
2018,5,4,69,41,9.84
2018,5,5,75,48,9.4
2018,5,6,80,47,8.5
2018,5,7,80,49,8.28
2018,5,8,77,48,7.61
2018,5,9,80,46,6.93
2018,5,10,90,50,11.86
2018,5,11,80,44,11.63
2018,5,12,66,50,12.53
2018,5,13,61,49,9.84
2018,5,14,65,49,6.71
2018,5,15,77,45,8.95
2018,5,16,81,51,8.28
2018,5,17,86,51,10.74
2018,5,18,65,50,10.07
2018,5,19,51,41,12.53
2018,5,20,58,40,7.61
2018,5,21,79,42,8.5
2018,5,22,81,48,8.72
2018,5,23,82,47,8.28
2018,5,24,86,52,6.49
2018,5,25,91,54,9.62
2018,5,26,94,55,10.51
2018,5,27,87,57,13.87
2018,5,28,70,51,11.63
2018,5,29,78,46,9.84
2018,5,30,84,48,10.07
2018,5,31,92,50,14.32
2018,6,1,92,54,9.17
2018,6,2,79,44,9.17
2018,6,3,79,48,6.71
2018,6,4,93,57,9.17
2018,6,5,95,60,9.4
2018,6,6,95,61,10.51
2018,6,7,92,58,16.78
2018,6,8,96,57,10.29
2018,6,9,95,61,9.84
2018,6,10,97,61,10.74
2018,6,11,82,51,10.74
2018,6,12,87,56,9.62
2018,6,13,94,57,10.96
2018,6,14,97,66,13.42
2018,6,15,95,61,9.84
2018,6,16,87,58,8.5
2018,6,17,77,56,10.51
2018,6,18,82,54,10.51
2018,6,19,79,55,14.32
2018,6,20,78,51,9.62
2018,6,21,86,50,8.5
2018,6,22,90,55,10.51
2018,6,23,89,51,9.4
2018,6,24,70,51,7.83
2018,6,25,83,48,7.83
2018,6,26,97,56,9.62
2018,6,27,101,64,11.18
2018,6,28,105,63,12.3
2018,6,29,97,66,15.21
2018,6,30,76,51,13.2
2018,7,1,90,47,7.38
2018,7,2,95,56,10.51
2018,7,3,99,57,9.17
2018,7,4,93,58,10.29
2018,7,5,87,62,16.11
2018,7,6,92,60,11.18
2018,7,7,98,62,10.29
2018,7,8,98,67,10.74
2018,7,9,95,63,11.63
2018,7,10,98,64,12.75
2018,7,11,96,60,10.07
2018,7,12,88,62,11.63
2018,7,13,90,61,8.28
2018,7,14,97,64,10.74
2018,7,15,75,59,11.41
2018,7,16,91,59,6.49
2018,7,17,88,60,10.07
2018,7,18,95,63,9.84
2018,7,19,98,64,8.5
2018,7,20,97,66,9.4
2018,7,21,97,68,8.05
2018,7,22,95,65,11.86
2018,7,23,78,63,8.95
2018,7,24,90,63,9.62
2018,7,25,80,60,11.41
2018,7,26,83,58,9.4
2018,7,27,85,58,11.63
2018,7,28,79,56,8.5
2018,7,29,84,56,8.05
2018,7,30,79,55,9.62
2018,7,31,87,54,9.62
2018,8,1,85,60,7.83
2018,8,2,93,56,8.95
2018,8,3,84,64,10.96
2018,8,4,95,62,12.3
2018,8,5,88,63,9.62
2018,8,6,84,58,9.62
2018,8,7,88,56,10.51
2018,8,8,83,57,10.29
2018,8,9,88,56,8.5
2018,8,10,88,62,10.51
2018,8,11,92,59,12.53
2018,8,12,90,61,15.88
2018,8,13,89,53,8.5
2018,8,14,84,58,11.41
2018,8,15,88,62,10.74
2018,8,16,89,59,6.49
2018,8,17,89,63,12.75
2018,8,18,79,57,10.51
2018,8,19,72,51,11.18
2018,8,20,76,46,7.61
2018,8,21,80,53,10.29
2018,8,22,81,56,8.5
2018,8,23,89,58,14.32
2018,8,24,90,61,8.28
2018,8,25,92,61,8.95
2018,8,26,94,60,14.32
2018,8,27,93,62,12.3
2018,8,28,75,50,9.4
2018,8,29,91,54,10.07
2018,8,30,92,60,7.83
2018,8,31,90,61,9.4
2018,9,1,88,53,7.61
2018,9,2,82,57,8.05
2018,9,3,82,58,7.61
2018,9,4,83,56,8.72
2018,9,5,70,54,10.29
2018,9,6,78,51,8.5
2018,9,7,75,52,7.38
2018,9,8,86,52,9.4
2018,9,9,88,55,9.4
2018,9,10,93,55,9.62
2018,9,11,93,60,10.51
2018,9,12,93,62,12.3
2018,9,13,96,64,13.87
2018,9,14,92,60,10.51
2018,9,15,94,58,13.65
2018,9,16,93,60,10.51
2018,9,17,92,64,6.71
2018,9,18,91,59,9.84
2018,9,19,84,59,10.29
2018,9,20,84,52,9.4
2018,9,21,79,44,14.99
2018,9,22,86,49,8.95
2018,9,23,88,56,9.4
2018,9,24,80,54,12.53
2018,9,25,64,36,9.17
2018,9,26,73,42,7.16
2018,9,27,80,49,8.72
2018,9,28,50,37,10.51
2018,9,29,84,36,9.4
2018,9,30,61,40,6.93
2018,10,1,71,43,4.92
2018,10,2,81,52,8.05
2018,10,3,86,47,15.43
2018,10,4,68,47,10.96
2018,10,5,75,37,11.86
2018,10,6,61,33,12.97
2018,10,7,47,38,8.95
2018,10,8,40,36,8.28
2018,10,9,38,34,8.28
2018,10,10,37,31,8.72
2018,10,11,48,34,5.59
2018,10,12,64,32,7.83
2018,10,13,63,26,14.32
2018,10,14,27,20,9.62
2018,10,15,48,18,8.05
2018,10,16,56,29,7.61
2018,10,17,61,36,16.33
2018,10,18,69,40,13.87
2018,10,19,67,40,9.4
2018,10,20,70,38,9.84
2018,10,21,74,41,7.38
2018,10,22,74,44,11.18
2018,10,23,70,44,11.86
2018,10,24,60,42,6.04
2018,10,25,66,43,7.61
2018,10,26,69,37,7.83
2018,10,27,73,42,14.76
2018,10,28,77,34,9.62
2018,10,29,79,40,10.51
2018,10,30,43,33,6.04
2018,10,31,46,30,8.05
2018,11,1,55,34,8.72
2018,11,2,65,29,14.99
2018,11,3,54,30,14.99
2018,11,4,56,26,7.83
2018,11,5,56,27,9.4
2018,11,6,51,26,10.07
2018,11,7,44,27,7.61
2018,11,8,38,19,7.38
