Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2017,1,1,27,268,3,79.83,930
2017,1,2,49,121,4.9,88.87,938
2017,1,3,55,97,2,86.59,940
2017,1,4,36,181,3.3,88.02,939
2017,1,5,30,152,6.2,81.05,931
2017,1,6,22,332,3,36.31,943
2017,1,7,31,2,1.2,60.22,950
2017,1,8,47,147,1.2,74.64,947
2017,1,9,41,112,5,81.2,940
2017,1,10,52,137,4.7,77.91,939
2017,1,11,25,288,5.5,72.52,933
2017,1,12,47,23,2.2,84.57,940
2017,1,13,40,65,2.3,86.2,940
2017,1,14,46,69,3.9,71.08,940
2017,1,15,27,293,1.9,63.32,940
2017,1,16,21,341,2.8,50.54,940
2017,1,17,22,338,2.1,44.48,941
2017,1,18,31,276,1.8,48.62,940
2017,1,19,38,119,3.6,85.03,934
2017,1,20,30,2,4.7,93.33,925
2017,1,21,24,331,3.1,68.8,931
2017,1,22,18,243,3.8,87.88,938
2017,1,23,46,211,4.5,88.04,930
2017,1,24,26,328,1.6,63.73,937
2017,1,25,22,349,1.5,52.2,947
2017,1,26,27,324,1.8,52.97,950
2017,1,27,25,341,4.3,53.36,956
2017,1,28,23,361,3.4,52.29,960
2017,1,29,26,340,3.3,50.82,952
2017,1,30,29,330,2.1,50.46,950
2017,1,31,32,308,1.2,47.35,943
2017,2,1,30,311,1.3,51.06,940
2017,2,2,54,170,1.7,49.29,940
2017,2,3,35,273,3.1,65.75,940
2017,2,4,40,284,1.9,73.15,940
2017,2,5,62,175,1.2,69.62,940
2017,2,6,61,31,4.3,83.14,940
2017,2,7,60,186,4.9,81.85,940
2017,2,8,57,225,1.2,79.05,941
2017,2,9,58,218,1.5,70.82,940
2017,2,10,64,28,2.9,60.1,940
2017,2,11,59,56,2.3,69.45,940
2017,2,12,54,117,5.2,60.95,942
2017,2,13,40,295,3.4,51.65,940
2017,2,14,30,347,2.8,43.04,941
2017,2,15,28,362,1.8,42.67,945
2017,2,16,62,172,2.4,43.89,937
2017,2,17,45,3,4.9,66.25,930
2017,2,18,26,216,3,92.67,926
2017,2,19,43,186,3,79.31,933
2017,2,20,54,202,4,83.55,943
2017,2,21,77,125,3.9,78.57,945
2017,2,22,29,378,5,64.82,937
2017,2,23,35,363,2.6,47.68,940
2017,2,24,32,371,1.3,42.56,940
2017,2,25,77,135,0.9,43.57,940
2017,2,26,40,333,1.8,57.2,935
2017,2,27,92,67,3.7,86.72,930
2017,2,28,35,359,2.1,56.07,940
2017,3,1,33,383,2.5,41.95,950
2017,3,2,33,390,2.9,39.86,950
2017,3,3,32,395,1.8,36.45,944
2017,3,4,61,217,3.5,41.7,940
2017,3,5,48,302,6.3,59.16,932
2017,3,6,33,401,1.4,40.84,941
