Year,Month,Day,Max Temp (F),Min Temp (F)
2015,10,16,78,66
2015,10,17,79,64
2015,10,18,77,59
2015,10,19,74,57
2015,10,20,77,59
2015,10,21,77,58
2015,10,22,78,58
2015,10,23,79,63
2015,10,24,80,55
2015,10,25,75,59
2015,10,26,81,55
2015,10,27,78,56
2015,10,28,78,60
2015,10,29,75,53
2015,10,30,74,59
2015,10,31,79,58
2015,11,1,79,53
2015,11,2,85,53
2015,11,3,65,53
2015,11,4,55,44
2015,11,5,59,43
2015,11,6,65,44
2015,11,7,64,44
2015,11,8,66,42
2015,11,9,70,45
2015,11,10,60,47
2015,11,11,61,43
2015,11,12,65,39
2015,11,13,69,44
2015,11,14,68,42
2015,11,15,67,40
2015,11,16,58,46
2015,11,17,58,42
2015,11,18,63,40
2015,11,19,69,43
2015,11,20,75,46
2015,11,21,67,46
2015,11,22,66,41
2015,11,23,65,40
2015,11,24,74,40
2015,11,25,59,42
2015,11,26,55,40
2015,11,27,51,40
2015,11,28,51,35
2015,11,29,50,31
2015,11,30,51,31
2015,12,1,55,32
2015,12,2,59,34
2015,12,3,59,36
2015,12,4,60,37
2015,12,5,60,38
2015,12,6,60,37
2015,12,7,61,40
2015,12,8,65,40
2015,12,9,60,44
2015,12,10,69,40
2015,12,11,62,42
2015,12,12,56,44
2015,12,13,60,37
2015,12,14,52,40
2015,12,15,50,38
2015,12,16,50,33
2015,12,17,50,30
2015,12,18,54,32
2015,12,19,57,32
2015,12,20,53,38
2015,12,21,50,36
2015,12,22,61,44
2015,12,23,61,38
2015,12,24,57,41
2015,12,25,48,37
2015,12,26,47,37
2015,12,27,45,28
2015,12,28,46,29
2015,12,29,50,33
2015,12,30,49,27
2015,12,31,48,35
2016,1,1,48,30
2016,1,2,53,34
2016,1,3,56,39
2016,1,4,54,44
2016,1,5,51,46
2016,1,6,55,44
2016,1,7,53,41
2016,1,8,55,38
2016,1,9,51,36
2016,1,10,53,38
2016,1,11,51,34
2016,1,12,53,31
2016,1,13,50,30
2016,1,14,54,31
2016,1,15,59,34
2016,1,16,52,37
2016,1,17,55,33
2016,1,18,61,41
2016,1,19,51,39
2016,1,20,62,41
2016,1,21,58,37
2016,1,22,58,38
2016,1,23,56,41
2016,1,24,61,46
2016,1,25,58,42
2016,1,26,57,41
2016,1,27,59,35
2016,1,28,62,38
2016,1,29,62,43
2016,1,30,72,42
2016,1,31,60,41
2016,2,1,47,37
2016,2,2,44,33
2016,2,3,49,30
2016,2,4,52,30
2016,2,5,60,38
2016,2,6,62,37
2016,2,7,72,44
2016,2,8,73,50
2016,2,9,72,46
2016,2,10,72,45
2016,2,11,72,45
2016,2,12,73,44
2016,2,13,73,44
2016,2,14,73,51
2016,2,15,77,58
2016,2,16,75,51
2016,2,17,78,47
2016,2,18,68,50
2016,2,19,73,44
2016,2,20,73,48
2016,2,21,75,49
2016,2,22,72,52
2016,2,23,64,46
2016,2,24,66,42
2016,2,25,74,46
2016,2,26,76,48
2016,2,27,79,53
2016,2,28,77,55
2016,3,1,79,54
2016,3,2,80,54
2016,3,3,79,54
2016,3,4,79,53
2016,3,5,77,62
2016,3,6,69,43
2016,3,7,59,42
2016,3,8,69,47
2016,3,9,73,54
2016,3,10,79,51
2016,3,11,79,51
2016,3,12,67,47
2016,3,13,69,50
2016,3,14,71,50
2016,3,15,72,53
2016,3,16,75,53
2016,3,17,81,51
2016,3,18,80,58
2016,3,19,82,55
2016,3,20,86,54
2016,3,21,81,64
2016,3,22,68,54
2016,3,23,69,49
2016,3,24,76,48
2016,3,25,81,59
2016,3,26,69,53
2016,3,27,71,47
2016,3,28,73,49
2016,3,29,61,46
2016,3,30,63,48
2016,3,31,73,49
2016,4,1,76,54
2016,4,2,79,52
2016,4,3,84,55
2016,4,4,85,57
2016,4,5,89,62
2016,4,6,87,60
2016,4,7,85,65
2016,4,8,74,58
2016,4,9,66,51
2016,4,10,61,52
2016,4,11,68,53
2016,4,12,77,53
2016,4,13,82,56
2016,4,14,80,63
2016,4,15,70,59
2016,4,16,79,56
2016,4,17,78,59
2016,4,18,80,55
2016,4,19,85,56
2016,4,20,91,58
2016,4,21,90,61
2016,4,22,92,64
2016,4,23,78,59
2016,4,24,79,57
2016,4,25,64,52
2016,4,26,75,53
2016,4,27,73,57
2016,4,28,67,51
2016,4,29,75,52
2016,4,30,66,48
2016,5,1,75,53
2016,5,2,79,54
2016,5,3,84,60
2016,5,4,91,63
2016,5,5,86,65
2016,5,6,68,57
2016,5,7,71,54
2016,5,8,76,55
2016,5,9,86,59
2016,5,10,87,65
2016,5,11,85,69
2016,5,12,91,63
2016,5,13,97,66
2016,5,14,97,72
2016,5,15,91,72
2016,5,16,87,71
2016,5,17,75,60
2016,5,18,87,65
2016,5,19,94,65
2016,5,20,83,66
2016,5,21,78,58
2016,5,22,79,58
2016,5,23,84,60
2016,5,24,79,62
2016,5,25,80,59
2016,5,26,83,57
2016,5,27,88,65
2016,5,28,90,66
2016,5,29,91,67
2016,5,30,95,67
2016,5,31,99,73
2016,6,1,102,73
2016,6,2,105,72
2016,6,3,106,77
2016,6,4,107,80
2016,6,5,109,77
2016,6,6,104,77
2016,6,7,106,77
2016,6,8,109,79
2016,6,9,105,83
2016,6,10,103,80
2016,6,11,95,71
2016,6,12,94,74
2016,6,13,95,73
2016,6,14,97,71
2016,6,15,95,75
2016,6,16,93,70
2016,6,17,98,73
2016,6,18,101,73
2016,6,19,109,78
2016,6,20,114,84
2016,6,21,114,85
2016,6,22,109,80
2016,6,23,108,80
2016,6,24,108,80
2016,6,25,106,82
2016,6,26,109,80
2016,6,27,110,83
2016,6,28,109,87
2016,6,29,109,83
2016,6,30,99,79
2016,7,1,96,70
2016,7,2,95,70
2016,7,3,104,79
2016,7,4,106,80
2016,7,5,104,78
2016,7,6,103,80
2016,7,7,103,79
2016,7,8,106,79
2016,7,9,102,82
2016,7,10,102,82
2016,7,11,100,81
2016,7,12,105,74
2016,7,13,105,74
2016,7,14,108,76
2016,7,15,111,77
2016,7,16,106,80
2016,7,17,106,85
2016,7,18,105,84
2016,7,19,107,82
2016,7,20,108,81
2016,7,21,109,82
2016,7,22,112,83
2016,7,23,112,83
2016,7,24,111,84
2016,7,25,110,84
2016,7,26,110,86
2016,7,27,113,86
2016,7,28,114,89
2016,7,29,111,92
2016,7,30,106,86
2016,7,31,103,78
2016,8,1,101,79
2016,8,2,103,83
2016,8,3,104,78
2016,8,4,84,72
2016,8,5,101,74
2016,8,6,104,82
2016,8,7,106,81
2016,8,8,106,79
2016,8,9,104,80
2016,8,10,102,79
2016,8,11,102,74
2016,8,12,103,77
2016,8,13,107,82
2016,8,14,109,81
2016,8,15,108,83
2016,8,16,107,78
2016,8,17,107,77
2016,8,18,102,82
2016,8,19,100,79
2016,8,20,105,78
2016,8,21,100,80
2016,8,22,98,68
2016,8,23,91,69
2016,8,24,101,74
2016,8,25,102,75
2016,8,26,96,77
2016,8,27,88,70
2016,8,28,95,73
2016,8,29,103,74
2016,8,30,104,77
2016,8,31,105,77
2016,9,1,103,80
2016,9,2,103,78
2016,9,3,99,73
2016,9,4,93,74
2016,9,5,92,68
2016,9,6,95,68
2016,9,7,96,67
2016,9,8,99,73
2016,9,9,100,73
2016,9,10,101,73
2016,9,11,101,74
2016,9,12,96,75
2016,9,13,89,68
2016,9,14,84,63
2016,9,15,89,66
2016,9,16,91,65
2016,9,17,94,66
2016,9,18,98,67
2016,9,19,98,68
2016,9,20,86,71
2016,9,21,82,67
2016,9,22,86,67
2016,9,23,80,60
2016,9,24,88,63
2016,9,25,89,65
2016,9,26,90,65
2016,9,27,90,66
2016,9,28,89,69
2016,9,29,89,67
2016,9,30,91,71
2016,10,1,91,69
2016,10,2,89,68
2016,10,3,76,61
2016,10,4,79,57
2016,10,5,81,56
2016,10,6,79,60
2016,10,7,83,55
2016,10,8,86,60
2016,10,9,89,62
2016,10,10,90,64
2016,10,11,90,65
2016,10,12,87,61
2016,10,13,88,62
2016,10,14,92,67
2016,10,15,89,74
2016,10,16,83,69
2016,10,17,80,58
2016,10,18,81,57
2016,10,19,79,61
2016,10,20,79,56
2016,10,21,83,53
2016,10,22,89,56
2016,10,23,83,61
2016,10,24,69,59
2016,10,25,75,58
2016,10,26,80,56
2016,10,27,79,59
2016,10,28,79,59
2016,10,29,83,57
2016,10,30,85,62
2016,10,31,72,57
2016,11,1,70,52
2016,11,2,75,57
2016,11,3,81,61
2016,11,4,82,59
2016,11,5,79,58
2016,11,6,79,54
2016,11,7,80,55
2016,11,8,82,55
2016,11,9,80,55
2016,11,10,79,54
2016,11,11,77,52
2016,11,12,76,51
2016,11,13,76,53
2016,11,14,78,52
2016,11,15,74,49
2016,11,16,79,55
2016,11,17,59,47
2016,11,18,60,38
2016,11,19,66,40
2016,11,20,67,49
2016,11,21,63,48
2016,11,22,65,47
2016,11,23,65,41
2016,11,24,61,42
2016,11,25,63,37
2016,11,26,63,37
2016,11,27,55,40
2016,11,28,58,44
2016,11,29,57,40
2016,11,30,53,34
2016,12,1,56,36
2016,12,2,55,44
2016,12,3,60,41
2016,12,4,60,35
2016,12,5,59,36
2016,12,6,60,40
2016,12,7,54,37
2016,12,8,53,33
2016,12,9,54,37
