Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2015,1,1,30,258,1.8,39.73,940
2015,1,2,20,309,1.8,40.09,940
2015,1,3,22,294,0.8,45.12,945
2015,1,4,44,170,1.1,51.86,950
2015,1,5,39,208,1.9,50.85,950
2015,1,6,21,306,2.4,52.63,950
2015,1,7,21,307,2.6,53.15,950
2015,1,8,24,295,1.2,49.89,942
2015,1,9,28,258,1.1,52.39,940
2015,1,10,47,168,1.1,65.97,940
2015,1,11,23,0,0.9,91.8,940
2015,1,12,43,177,1.3,87.73,941
2015,1,13,32,184,3.2,62.36,941
2015,1,14,24,317,2.5,52.93,950
2015,1,15,24,329,2.1,47.28,950
2015,1,16,38,244,1.1,40.34,950
2015,1,17,42,217,1.5,42.58,950
2015,1,18,59,91,1,47.77,950
2015,1,19,45,185,1.1,46.65,945
2015,1,20,63,41,2.2,63.3,940
2015,1,21,23,341,3.8,43.47,942
2015,1,22,37,264,2.8,30.33,950
2015,1,23,26,324,2.1,31.68,950
2015,1,24,23,341,3.9,43.38,950
2015,1,25,23,332,3.5,49.37,948
2015,1,26,52,154,2,58.99,946
2015,1,27,41,185,1,81.45,950
2015,1,28,56,146,1.5,76.5,948
2015,1,29,62,19,2.3,55.64,942
2015,1,30,27,0,1.8,83.89,940
2015,1,31,41,211,2.5,68.78,940
2015,2,1,33,279,1.7,39.98,942
2015,2,2,30,284,1,38.31,943
2015,2,3,48,211,1.1,42.54,940
2015,2,4,27,334,0.9,40.5,943
2015,2,5,50,242,1.2,43.13,943
2015,2,6,54,219,1.8,41.5,940
2015,2,7,31,291,2.8,55.49,940
2015,2,8,28,331,1.4,70.14,941
2015,2,9,28,347,3,56.57,940
2015,2,10,27,356,2.6,38.12,940
2015,2,11,28,337,3.2,38.78,948
2015,2,12,27,345,2,36.83,950
2015,2,13,28,349,1.8,31.78,945
2015,2,14,30,339,1.3,33.63,942
2015,2,15,33,333,1.6,35.7,940
2015,2,16,39,257,1.6,34.6,940
2015,2,17,27,361,1.9,28.08,944
2015,2,18,26,364,1.3,24.79,945
2015,2,19,66,188,1.3,30.81,940
2015,2,20,67,197,1.5,35.17,940
2015,2,21,28,357,1.5,33.62,935
2015,2,22,74,39,2.7,67.29,933
2015,2,23,70,27,2.7,69.9,939
2015,2,24,33,365,3,34.34,941
2015,2,25,38,336,1.7,32.58,940
2015,2,26,36,320,1.8,37.92,935
2015,2,27,35,349,2.4,48.27,930
2015,2,28,39,312,4.4,61.8,930
2015,3,1,72,45,1.7,78.17,940
2015,3,2,80,142,2.9,77.56,933
2015,3,3,70,195,1.1,65.09,940
2015,3,4,42,360,2.8,39.45,943
2015,3,5,42,366,2,33.12,950
2015,3,6,45,354,2.9,31.01,950
2015,3,7,40,369,2.7,29.45,944
2015,3,8,42,360,1.4,30.68,940
2015,3,9,41,371,2.1,28.44,940
2015,3,10,42,363,1.7,26.98,940
2015,3,11,81,24,2,33.87,940
2015,3,12,62,299,3,47.41,943
2015,3,13,41,377,3.2,38.39,948
2015,3,14,40,362,1.3,34.94,948
2015,3,15,68,257,1.4,33.3,945
2015,3,16,60,299,1.4,31.74,940
2015,3,17,96,167,1.8,35.02,940
2015,3,18,116,60,0.8,44.05,940
2015,3,19,50,334,2.8,35.32,940
2015,3,20,41,400,1.3,25.95,940
2015,3,21,54,346,3.1,25.01,940
2015,3,22,99,163,4.2,35.89,940
2015,3,23,49,351,2.9,44.17,940
2015,3,24,56,289,1.9,30.08,940
2015,3,25,44,391,3.7,31.49,945
2015,3,26,49,375,2.6,25.24,948
2015,3,27,47,386,1.5,24.66,944
2015,3,28,45,395,2,21.73,940
2015,3,29,59,339,1.8,21.47,940
2015,3,30,53,368,1.6,20.82,940
2015,3,31,85,238,4.1,21.11,936
2015,4,1,59,363,3.7,21.13,935
2015,4,2,53,390,3.9,19.87,939
2015,4,3,55,395,2.7,13.81,945
2015,4,4,55,393,1.9,13.84,936
2015,4,5,93,285,4.6,22.29,930
2015,4,6,69,354,4.2,31.66,931
2015,4,7,66,355,5.4,38.46,936
2015,4,8,47,425,2.8,33.72,940
2015,4,9,79,285,1.7,24.64,940
2015,4,10,101,225,1.7,19.09,940
